	Cycle_ID	Cap_Chg	Cap_DChg	Specific_Capacity-Chg	Specific_Capacity-DChg	Chg/DChg_Efficiency	Engy_Chg	Engy_DChg	REngy_Chg	REngy_Dchg	CC_Chg_Ratio	CC_Chg_Cap	Plat_Cap	Plat_Capacity_Density	Plat_Efficiency	Plat_Time	Capacitance_Chg	Capacitance_DChg	IR	Mid_value_Voltage	Discharge_Fading_Ratio	Charge_Time	Discharge_Time	Charge_IR	Discharge_IR	End_Temperature	Net_Cap_DChg	Net_Engy_DChg
118	72.28	72.24	72280.09	72237.66	99.941	256.66	253.62	256662.84	253617.98	88.69	64.11	17.47	17473.30	24.19	0:29:59.000	420097.40	403061.98	0.000	3550.0	368.49	2:10:55.000	2:03:58.000	456.105	137.672	0.0	-0.04	-3.04	
119	72.26	72.23	72256.40	72231.26	99.965	256.58	253.59	256582.80	253586.43	88.62	64.04	17.48	17480.01	24.20	0:30:00.000	419756.38	402278.06	0.000	3550.0	368.46	2:11:11.000	2:03:58.000	443.364	137.672	0.0	-0.03	-3.00	
120	72.26	72.19	72264.12	72192.40	99.901	256.60	253.45	256598.08	253448.19	88.65	64.06	17.46	17460.58	24.19	0:29:58.000	419192.43	402435.18	0.000	3549.7	368.26	2:11:18.000	2:03:54.000	447.654	137.672	0.0	-0.07	-3.15	
121	72.23	72.19	72234.64	72192.40	99.942	256.50	253.45	256495.01	253448.00	88.69	64.06	17.47	17470.29	24.20	0:29:59.000	419833.21	402996.81	0.000	3549.7	368.26	2:11:04.000	2:03:54.000	451.945	137.638	0.0	-0.04	-3.05	
122	72.25	72.21	72247.69	72211.82	99.950	256.55	253.52	256545.82	253522.38	88.70	64.08	17.48	17480.00	24.21	0:30:00.000	419705.79	403105.23	0.000	3549.7	368.36	2:11:05.000	2:03:56.000	439.073	137.707	0.0	-0.04	-3.02	
123	72.18	72.18	72177.82	72182.69	100.007	256.30	253.41	256296.47	253409.61	88.72	64.04	17.45	17450.87	24.18	0:29:57.000	419909.78	402194.21	0.000	3549.7	368.21	2:10:53.000	2:03:53.000	451.945	137.741	0.0	0.00	-2.89	
124	72.22	72.17	72221.47	72172.98	99.933	256.45	253.38	256450.25	253384.60	88.68	64.04	17.44	17441.16	24.17	0:29:56.000	419147.67	402701.05	0.000	3549.7	368.16	2:11:12.000	2:03:52.000	447.654	137.707	0.0	-0.05	-3.07	
125	72.21	72.07	72209.38	72066.15	99.802	256.40	253.00	256402.03	252995.09	88.75	64.08	17.43	17431.44	24.19	0:29:55.000	419686.44	401544.85	0.000	3549.7	367.61	2:11:06.000	2:03:41.000	447.654	137.672	0.0	-0.14	-3.41	
126	72.20	72.14	72198.43	72143.33	99.924	256.36	253.27	256361.68	253269.95	88.75	64.07	17.47	17470.22	24.22	0:29:59.000	419216.69	402535.65	0.000	3549.4	368.01	2:11:09.000	2:03:49.000	451.945	138.087	0.0	-0.06	-3.09	
127	72.11	72.12	72113.39	72120.59	100.010	256.06	253.19	256056.23	253186.20	88.78	64.02	17.48	17479.29	24.24	0:30:00.000	418925.59	402595.92	0.000	3549.4	367.89	2:10:58.000	2:03:47.000	443.364	137.948	0.0	0.01	-2.87	
128	72.12	72.09	72121.81	72093.02	99.960	256.09	253.09	256089.99	253089.40	88.76	64.01	17.45	17449.65	24.20	0:29:57.000	419380.57	402442.02	0.000	3549.4	367.75	2:11:03.000	2:03:44.000	443.427	130.719	0.0	-0.03	-3.00	
